+----+-----------------------+-----+-------------------------------+-------------------+-------------------+-------+
| K  |           C           | PCA |             Kernel            | minDCF (pi = 0.1) | minDCF (pi = 0.5) | Cprim |
| 1  |          10.0         |  0  |         RBF(γ = 0.01)         |       0.137       |       0.045       | 0.091 |
| 1  | 9.999999999999999e-05 |  0  | RBF(γ = 0.09999999999999999)  |       0.952       |       0.801       | 0.877 |
| 1  |         0.001         |  0  | RBF(γ = 0.09999999999999999)  |       0.952       |       0.801       | 0.877 |
| 1  |          0.01         |  0  | RBF(γ = 0.09999999999999999)  |       0.321       |       0.222       | 0.271 |
| 1  |  0.09999999999999999  |  0  | RBF(γ = 0.09999999999999999)  |       0.323       |       0.222       | 0.272 |
| 1  |          1.0          |  0  | RBF(γ = 0.09999999999999999)  |       0.323       |       0.222       | 0.272 |
| 1  |          10.0         |  0  | RBF(γ = 0.09999999999999999)  |        0.31       |       0.208       | 0.259 |
| 1  | 9.999999999999999e-05 |  0  |         RBF(γ = 1.0)          |       0.995       |       0.801       | 0.898 |
| 1  |         0.001         |  0  |         RBF(γ = 1.0)          |       0.996       |       0.801       | 0.899 |
| 1  |          0.01         |  0  |         RBF(γ = 1.0)          |       0.386       |       0.381       | 0.383 |
| 1  |  0.09999999999999999  |  0  |         RBF(γ = 1.0)          |       0.387       |       0.378       | 0.382 |
| 1  |          1.0          |  0  |         RBF(γ = 1.0)          |       0.383       |       0.378       | 0.381 |
| 1  |          10.0         |  0  |         RBF(γ = 1.0)          |       0.387       |       0.378       | 0.382 |
| 10 | 9.999999999999999e-05 |  6  |        RBF(γ = 0.001)         |       0.759       |       0.459       | 0.609 |
| 10 |         0.001         |  6  |        RBF(γ = 0.001)         |       0.479       |       0.138       | 0.309 |
| 10 |          0.01         |  6  |        RBF(γ = 0.001)         |       0.393       |       0.129       | 0.261 |
| 10 |  0.09999999999999999  |  6  |        RBF(γ = 0.001)         |       0.294       |       0.103       | 0.198 |
| 10 |          1.0          |  6  |        RBF(γ = 0.001)         |       0.269       |       0.087       | 0.178 |
| 10 |          10.0         |  6  |        RBF(γ = 0.001)         |       0.256       |       0.083       | 0.169 |
| 10 | 9.999999999999999e-05 |  6  |         RBF(γ = 0.01)         |       0.384       |       0.095       | 0.239 |
| 10 |         0.001         |  6  |         RBF(γ = 0.01)         |       0.391       |       0.096       | 0.243 |
| 10 |          0.01         |  6  |         RBF(γ = 0.01)         |       0.362       |       0.093       | 0.227 |
| 10 |  0.09999999999999999  |  6  |         RBF(γ = 0.01)         |       0.266       |       0.079       | 0.173 |
| 10 |          1.0          |  6  |         RBF(γ = 0.01)         |       0.237       |       0.071       | 0.154 |
| 10 |          10.0         |  6  |         RBF(γ = 0.01)         |       0.187       |       0.064       | 0.126 |
| 10 | 9.999999999999999e-05 |  6  | RBF(γ = 0.09999999999999999)  |       0.846       |        0.53       | 0.688 |
| 10 |         0.001         |  6  | RBF(γ = 0.09999999999999999)  |       0.277       |       0.072       | 0.175 |
| 10 |          0.01         |  6  | RBF(γ = 0.09999999999999999)  |       0.215       |       0.053       | 0.134 |
| 10 |  0.09999999999999999  |  6  | RBF(γ = 0.09999999999999999)  |       0.223       |       0.054       | 0.139 |
| 10 |          1.0          |  6  | RBF(γ = 0.09999999999999999)  |       0.222       |       0.118       |  0.17 |
